Subject ID,Experimental Batch,List Number,Question Preview,Data Collection Site,Comprehension Score - Regular Trials,Comprehension Score - Repeated Reading,Recalibration Count,Mean Validation Error,Total Session Duration,Session Duration,Dominant Eye,Tracked Eye,LexTALE Score*
253,2,20,False,MIT,50,33,5,,62.317150000000005,56.10173333333333,R,R,
361,3,20,True,MIT,91,100,5,,53.0475,47.333,L,L,
362,3,20,False,MIT,89,91,2,,33.667033333333336,30.075766666666667,L,L,
51,1,20,True,MIT,87,100,6,,56.82613333333336,45.01073333333333,L,L,
102,1,21,False,MIT,89,100,6,,41.74171666666666,34.56185,L,L,
227,2,21,True,MIT,83,100,4,,41.03101666666663,36.949616666666664,L,L,
232,2,21,False,MIT,91,78,8,,47.232916666666654,38.47343333333333,L,L,
363,3,21,True,MIT,89,89,3,,39.740383333333334,34.82735,R,R,
366,3,21,False,MIT,91,100,10,,61.141516666666675,48.89881666666667,R,R,
52,1,21,True,MIT,91,100,6,,46.33201666666662,38.212466666666664,L,L,
103,1,22,False,MIT,83,78,4,,42.99758333333335,34.06691666666667,L,L,
229,2,22,True,MIT,87,100,3,,47.809400000000004,43.64136666666666,R,R,
233,2,22,False,MIT,93,92,7,,83.36831666666666,76.57123333333334,L,L,
364,3,22,True,MIT,96,83,8,,48.320566666666664,38.63713333333333,R,R,
367,3,22,False,MIT,63,92,9,,51.54598333333333,41.23055,R,R,
53,1,22,True,MIT,70,67,9,,46.37413333333336,38.95216666666667,L,L,
234,2,23,False,MIT,83,82,9,,47.3926666666667,38.88681666666666,L,L,
235,2,23,True,MIT,81,73,4,,29.668583333333373,25.997366666666668,L,L,
368,3,23,False,MIT,93,90,11,,59.6195,45.39015,L,L,
371,3,23,True,MIT,87,100,7,,51.797916666666666,44.590349999999994,R,R,
54,1,23,True,MIT,91,80,1,,51.83664999999999,43.58885,L,L,
97,1,23,False,MIT,89,100,7,,55.56940000000003,48.47403333333333,L,L,
105,1,24,False,MIT,96,82,12,,53.11515,47.77295,L,L,
236,2,24,True,MIT,94,90,15,,44.870649999999955,34.45175,R,L,
241,2,24,False,MIT,65,90,7,,64.95118333333333,61.79918333333333,R/L,R,
370,3,24,True,MIT,85,83,2,,44.799883333333334,41.04006666666667,L,L,
372,3,24,False,MIT,85,75,4,,54.487516666666664,47.390750000000004,R,R,
55,1,24,True,MIT,83,82,1,,44.43393333333334,38.320116666666664,L,L,
106,1,25,False,MIT,85,100,1,,46.50120000000001,42.58956666666666,R,R,
238,2,25,True,MIT,81,80,7,,57.225566666666666,49.53625,R/L,R,
243,2,25,False,MIT,78,90,3,,49.85730000000001,46.89305,R/L,R,
373,3,25,False,MIT,78,100,5,,60.14751666666667,50.84876666666666,L,L,
374,3,25,True,MIT,74,90,9,,57.342483333333334,49.55518333333334,L,L,
56,1,25,True,MIT,80,85,1,,29.99436666666668,25.691433333333336,R,R,
107,1,26,False,MIT,83,78,10,,44.34095000000002,34.395583333333335,R/L,L,
239,2,26,True,MIT,94,90,9,,78.66549999999998,70.71823333333333,L,L,
244,2,26,False,MIT,78,80,3,,65.99989999999997,53.00668333333333,L,L,
375,3,26,False,MIT,83,92,3,,72.91651666666664,56.128400000000006,R,R,
376,3,26,True,MIT,93,100,2,,48.479683333333334,40.5618,L,L,
57,1,26,True,MIT,83,67,3,,66.71004999999997,55.58989999999999,R,R,
108,1,27,False,MIT,85,75,12,,37.903949999999995,34.42558333333333,L,L,
245,2,27,False,MIT,63,75,12,,53.85223333333329,42.175716666666666,L,L,
270,2,27,True,MIT,85,92,4,,50.13223333333333,39.74956666666667,R,R,
377,3,27,True,MIT,74,82,1,,49.991949999999996,43.7491,L,L,
378,3,27,False,MIT,83,91,4,,58.222233333333335,52.436616666666666,R,R,
58,1,27,True,MIT,80,100,3,,48.79276666666664,45.60215,R,R,
242,2,28,True,MIT,85,100,0,,44.47403333333333,40.678466666666665,R,R,
246,2,28,False,MIT,91,100,11,,69.85336666666672,55.562866666666665,R,R,
379,3,28,True,MIT,91,92,14,,65.86734999999999,44.974450000000004,R,R,
380,3,28,False,MIT,74,85,4,,46.60764999999999,40.40136666666667,R,R,
495,1,28,False,MIT,87,78,0,,39.68658333333334,31.91165,L,R,100.0
59,1,28,True,MIT,81,78,6,,40.56141666666667,34.7802,R,R,
110,1,29,False,MIT,94,100,5,,47.5745,41.463166666666666,R,R,
247,2,29,True,MIT,96,100,11,,50.41803333333337,40.500883333333334,R,R,
248,2,29,False,MIT,81,64,18,,81.50733333333346,59.419266666666665,R,L,
383,3,29,True,MIT,89,82,17,,59.112416666666654,45.02635,L,L,
454,3,29,False,Technion,83,82,0,,87.11768333333333,79.08200000000001,R,R,100.0
60,1,29,True,MIT,78,75,2,,40.15168333333327,36.90175,R,R,
160,2,2,True,MIT,94,100,3,,44.8286,40.101800000000004,L,L,
165,2,2,False,MIT,72,70,2,,58.10541666666671,53.38518333333333,R,R,
174,1,2,False,MIT,87,90,3,,33.92626666666666,29.42843333333333,L,L,
323,3,2,True,MIT,93,91,16,,63.13273333333333,39.908350000000006,L,R,
324,3,2,False,MIT,85,82,3,,34.602133333333335,25.27345,L,L,
65,1,2,True,MIT,93,100,3,,41.484500000000025,35.65153333333333,R,R,
111,1,30,False,MIT,76,75,11,,41.95943333333334,32.15936666666666,R/L,L,
249,2,30,True,MIT,89,89,12,,51.52316666666661,33.101166666666664,R,LR,
254,2,30,False,MIT,69,78,3,,66.38681666666665,59.94286666666667,R,R,
385,3,30,True,MIT,89,100,18,,80.41581666666666,60.28993333333334,R,R,
386,3,30,False,MIT,96,100,3,,51.429916666666664,48.00723333333334,R,R,
61,1,30,True,MIT,87,92,5,,62.26683333333334,52.21075,R,R,
112,1,31,False,MIT,89,80,6,,55.30359999999999,41.686400000000006,L,L,
251,2,31,True,MIT,83,83,1,,48.51176666666667,40.52821666666667,L,L,
257,2,31,False,MIT,67,75,2,,51.82891666666667,47.6657,R,R,
387,3,31,True,MIT,76,78,6,,60.16130000000001,52.8099,R,R,
388,3,31,False,MIT,85,67,12,,109.96226666666664,97.79208333333332,L,L,
62,1,31,True,MIT,85,80,3,,44.81940000000003,40.927,R,R,
255,2,32,True,MIT,93,91,2,,68.76271666666668,50.98126666666667,L,L,
263,2,32,False,MIT,57,64,1,,43.571133333333336,39.86385,L,L,
389,3,32,True,MIT,78,100,2,,53.15875,48.34413333333334,R,R,
